idsabi;nombre;nif;año;11000;11100;11200;11300;11400;11500;11600;11700;12000;12100;12200;12210;12220;12230;12240;12250;12260;12300;12400;12500;12600;12700;10000;20000;21000;21100;21200;21300;21400;21500;21510;21520;21600;21700;21800;21900;22000;23000;31000;31100;31200;31300;31400;31500;31600;31700;32000;32100;32200;32300;32400;32500;32600;32700;30000;40100;40110;40120;40130;40200;40300;40400;40410;40420;40430;40440;40500;40510;40520;40600;40610;40620;40630;40700;40710;40720;40730;40740;40750;40800;40900;41000;41100;41110;41120;41130;41200;41300;49100;41400;41500;41600;41700;41800;41810;41820;42100;42110;42120;42130;49200;49300;41900;49400;42000;49400;50010;50020;50030;50040;50050;50060;50070;59200;50080;50090;50100;50110;50120;50130;59300;59400;52013
2088;GIFADI FERTILIZANTES SA;A30729750;2008;257,709230;0,525720;256,462280;;;0,721230;;;7929,743580;;1188,575720;1188,575720;;;;;;6510,266600;;21,500000;;209,401260;8187,452810;1466,519630;1466,519630;60,101210;;1137,848810;;;;;;268,569610;;;;;;;;;;;;;6720,933180;;;1533,278460;;5187,654720;;;8187,452810;16489,182670;16489,182670;;;4,887990;;-14311,866040;-14311,866040;;;;3,454940;3,454940;;-486,379060;-486,379060;;;-1199,016500;;;;-1199,016500;;-80,121300;;;2,125960;;2,125960;;;7,673330;429,941990;6,717530;-47,508630;;;;;;;;;;-40,791100;389,150890;-120,581280;268,569610;;268,569610;;;;;;;;;;;;;;;;268,569610;
2088;GIFADI FERTILIZANTES SA;A30729750;2009;191,722510;0,303550;190,697730;;;0,721230;;;6534,109750;;1148,139240;1148,139240;;;;;;4771,937080;;21,500000;;592,533430;6725,832260;2007,582660;2007,582660;360,607260;;1406,418420;;;;;;240,556980;;;;;;;;;;;;;4718,249600;;;521,844910;;4196,404690;;;6725,832260;14076,764560;;;;;;-12159,926390;;;;;13,312150;;;-471,215760;;;;-1065,329679;;;;;;-64,222760;;;-4,449140;;;;;25,326830;350,259810;13,619270;-20,219780;;;;;;;;;;-6,600510;343,659300;-103,102320;;;240,556980;;;;;;;;;;;;;;;;240,556980;
2088;GIFADI FERTILIZANTES SA;A30729750;2010;232,801650;0,119380;231,961040;;0,721230;;;;7498,987400;;906,335430;906,335430;;;;;;5645,554420;;300,000000;;647,097550;7731,789050;2317,992950;2317,992950;360,607260;;1646,975400;;;;;;310,410290;;;;;59,996830;;59,996830;;;;;;5353,799270;;;258,493090;;5095,306180;;;7731,789050;16226,502790;16226,502790;;;;;-14697,234450;-14697,234450;;;;0,099360;0,099360;;-457,948030;-457,948030;;;-568,713360;;;;-568,713360;;-80,197240;;;6,933390;;6,933390;;;10,097650;439,540110;9,578090;-5,675020;;;;;;;;;;3,903070;443,443180;-133,032890;310,410290;;310,410290;;;;;;;;;;;;;;;;310,410290;
2088;GIFADI FERTILIZANTES SA;A30729750;2011;158,120410;;157,399180;;0,721230;;;;6683,675960;;799,441010;799,441010;;;;;;4812,665490;;300,000000;;771,569460;6841,796370;2634,495320;2634,495320;360,607260;;1957,385690;;;;;;316,502370;;;;;47,288760;;47,288760;;;;;;4160,012290;;;89,337360;;4070,674930;;;6841,796370;16110,987060;;;;;;-14374,822360;;;;;0,821310;;;-492,843310;;;;-717,116930;;;;;;-94,434610;;;5,733530;;;;;-2,143720;436,180970;18,749710;-2,785040;;0,000610;;;;;;;;15,965280;452,146250;-135,643880;;;316,502370;;;;;;;;;;;;;;;;316,502370;
2088;GIFADI FERTILIZANTES SA;A30729750;2012;107,241330;;106,520100;;;0,721230;;;7482,242900;;667,915070;667,832260;0,082810;;;;;6039,170550;;300,000000;;475,157280;7589,484230;2943,485370;2943,485370;360,607260;;2273,888060;;;;;;308,990050;;;;;34,017390;;34,017390;;;;;;4611,981470;;;0,651360;;4611,330110;;;7589,484230;15923,147490;;;;;;-13960,949940;;;;;0,473630;;;-537,056270;;;;-919,436680;;;;;;-75,059720;;;-2,249690;;;;;-2,741750;426,127070;19,925700;-4,638410;;;;;;;;;;15,287290;441,414360;-132,424310;;;308,990050;;;;;;;;;;;;;;;;308,990050;
2088;GIFADI FERTILIZANTES SA;A30729750;2013;110,216420;;109,495190;;0,721230;;;;9294,934600;;608,600760;608,517950;0,082810;;;;;6955,347500;;840,000000;;890,986340;9405,151020;3319,854880;3319,854880;360,607260;;2582,878100;;;;;;376,369520;;;;;20,202260;;20,202260;;;;;;6065,093880;;;0,146580;;6064,947300;;;9405,151020;18801,955070;;;;;;-16859,631579;;;;;0,187000;;;-522,387200;;;;-843,762200;;;;;;-65,830810;;;13,366150;;;;;0,593400;524,489829;16,275640;-3,094730;;;;;;;;;;13,180910;537,670740;-161,301220;;;376,369520;;;;;;;;;;;;;;;;376,369520;
2088;GIFADI FERTILIZANTES SA;A30729750;2014;275,433290;;274,712060;;0,721230;;;;9125,582360;;471,706130;471,706130;;;;;;6846,119130;;1136,000000;;671,757100;9401,015650;3479,295260;3479,295260;360,607260;;2719,247620;;;;;;399,440380;;;;;6,020570;;6,020570;;;;;;5915,699820;;;;;5915,699820;;;9401,015650;19744,116370;;;;;;-17871,620720;;;;;0,984630;;;-492,930060;;;;-810,647500;;;;;;-43,882690;;;36,246760;;;;;-2,832450;559,434340;20,863180;-4,026350;;;;;;;;;;16,836830;576,271170;-176,830790;;;399,440380;;;;;;;;;;;;;;;;399,440380;
2088;GIFADI FERTILIZANTES SA;A30729750;2015;511,217330;25,770330;484,725770;;0,721230;;;;11260,050910;;773,518270;773,518270;;;;;;8015,770510;;1136,000000;;1334,762130;11771,268240;3863,289450;3863,289450;360,607260;;3121,978600;;;;;;590,703590;-210,000000;;;;;;;;;;;;7907,978790;;;;;7907,978790;;;11771,268240;23395,092970;;;;;;-20049,106200;;;;;0,008080;;;-540,328190;;;;-1857,513870;;;;;;-74,025910;;;0,600000;;;;;-28,155300;846,571580;8,276340;-1,470080;;;;;;;;;;6,806260;853,377840;-262,674250;;;590,703590;;;;;;;;;;;;;;;;590,703590;
2088;GIFADI FERTILIZANTES SA;A30729750;2016;576,679890;17,231510;558,727150;;;0,721230;;;13557,883620;;673,776070;673,776070;;;;;;11346,066160;;836,000000;;702,041390;14134,563510;7365,222080;7365,222080;360,607260;;5861,435070;;;;;;1423,179750;-280,000000;;;;;;;;;;;;6769,341430;;;37,459170;;6731,882260;;;14134,563510;23259,619430;23259,619430;;;;;-20159,230250;-20136,380940;-19,114200;-3,735110;;;;;-643,006560;-478,066760;-164,939800;;1785,022620;-768,500900;-10,476150;2564,023390;-0,023720;;-188,222460;;;-2096,225920;-2099,531710;3,305790;;;-1,743770;1956,213090;9,647750;-68,000940;;;;;;;;;;-58,353190;1897,859900;-474,680150;1423,179750;;1423,179750;;;;;;;;;;;;;;;;1423,179750;-70,000000
